alignment,combat,durability,eye_color,gender,hair_color,height,id,image,intelligence,name,ocuppation,power,publisher,race,speed,strength,weight
good,64,80,Yellow,Male,No Hair,203 cm,1,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg,38,A-Bomb,"Musician, adventurer, author; formerly talk show host",24,Marvel Comics,Human,17,100,441 kg
good,85,65,Blue,Male,No Hair,191 cm,2,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg,88,Abe Sapien,Paranormal Investigator,100,Dark Horse Comics,Icthyo Sapien,35,28,65 kg
good,65,64,Blue,Male,No Hair,185 cm,3,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg,50,Abin Sur,"Green Lantern, former history professor",99,DC Comics,Ungaran,53,90,90 kg
bad,95,90,Green,Male,No Hair,203 cm,4,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg,63,Abomination,Ex-Spy,62,Marvel Comics,Human / Radiation,53,80,441 kg
bad,55,100,Blue,Male,Black,0 cm,5,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg,88,Abraxas,Dimensional destroyer,100,Marvel Comics,Cosmic Entity,83,63,0 kg
bad,64,100,Blue,Male,No Hair,193 cm,6,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg,38,Absorbing Man,Professional criminal; former professional boxer,98,Marvel Comics,Human,25,80,122 kg
good,64,100,Blue,Male,Blond,0 cm,7,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg,63,Adam Monroe,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",100,NBC - Heroes,null,12,10,0 kg
good,50,40,Blue,Male,Blond,185 cm,8,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg,69,Adam Strange,"Adventurer, archaelogist, ambassador",37,DC Comics,Human,33,10,88 kg
good,null,null,Blue,Female,Blond,173 cm,9,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg,null,Agent 13,Agent of SHIELD,null,Sharon Carter,null,null,46,61 kg
good,20,5,Brown,Male,Brown,178 cm,10,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg,10,Agent Bob,"Mercenary, janitor; former pirate, terrorist",5,Marvel Comics,Human,13,8,81 kg
good,95,80,-,Male,-,191 cm,11,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg,75,Agent Zero,"Mercenary, former government operative, freedom fighter",72,Marvel Comics,null,38,28,104 kg
bad,40,85,Blue,Male,White,188 cm,12,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg,50,Air-Walker,"Former starship captain, Herald of Galactus",100,Marvel Comics,null,100,85,108 kg
bad,55,80,Brown,Male,Black,193 cm,13,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg,56,Ajax,-,34,Marvel Comics,Cyborg,35,48,90 kg
good,32,90,Blue,Male,Blond,180 cm,14,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg,63,Alan Scott,-,100,DC Comics,null,23,80,90 kg
bad,50,90,-,Male,-,0 cm,15,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg,50,Alex Mercer,-,100,Wildstorm,Human,42,80,0 kg
good,null,null,-,Male,-,0 cm,16,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg,null,Alex Woolsly,Employee at Sam's Comics,null,NBC - Heroes,null,null,37,0 kg
good,55,10,Blue,Male,Black,178 cm,17,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg,63,Alfred Pennyworth,"Butler; Caretaker, former Actor; Field Medic; Government Agent",7,DC Comics,Human,17,10,72 kg
bad,60,90,-,Male,No Hair,244 cm,18,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg,50,Alien,-,57,Dark Horse Comics,Xenomorph XX121,42,28,169 kg
good,null,null,-,Male,-,0 cm,19,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg,null,Allan Quatermain,(former) hunter; (current) agent of the British government,null,Wildstorm,null,null,null,0 kg
bad,100,100,Red,Male,-,257 cm,20,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg,63,Amazo,-,100,DC Comics,Android,83,100,173 kg
